Date,DiverName,SiteCode,TimeStart,Time End,Depth,SurveyArea,SpeciesCode,UK,DS,BB,RB,YB,TLD,WP,WS,P,PB,BL,TotalDiseased,TotalHealthy,Notes
4/19/18,Joshua Voss,SEFL10,11:05,11:25,50,750,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
4/19/18,Joshua Voss,SEFL10,11:05,11:25,50,750,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,
4/19/18,Joshua Voss,SEFL10,11:05,11:25,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,17,
4/19/18,Joshua Voss,SEFL10,11:05,11:25,50,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Joshua Voss,SEFL10,11:05,11:25,50,750,MFOR,0,0,0,0,0,0,0,0,0,0,0,0,11,
4/19/18,Joshua Voss,SEFL10,11:05,11:25,50,750, OFAV,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Ryan Eckert,SEFL10,11:04,11:25,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,30,
4/19/18,Ryan Eckert,SEFL10,11:04,11:25,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,1,1,45,
4/19/18,Ryan Eckert,SEFL10,11:04,11:25,50,750,SINT,0,0,0,0,0,0,0,0,0,0,0,0,3,
4/19/18,Ryan Eckert,SEFL10,11:04,11:25,50,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,
4/19/18,Ryan Eckert,SEFL10,11:04,11:25,50,750,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Ryan Eckert,SEFL10,11:04,11:25,50,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,5,
4/19/18,Ryan Eckert,SEFL10,11:04,11:25,50,750,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,1,
4/19/18,Alexis Sturm,SEFL08,12:44,13:04,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,24,Old Fishing Line
4/19/18,Alexis Sturm,SEFL08,12:44,13:04,50,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,8,
4/19/18,Alexis Sturm,SEFL08,12:44,13:04,50,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,6,
4/19/18,Alexis Sturm,SEFL08,12:44,13:04,50,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Alexis Sturm,SEFL08,12:44,13:04,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,19,
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,36,
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,2,252
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,19,
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,3,
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,4,
4/19/18,Ian Combs,SEFL08,12:46,13:06,50,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,31,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,EFAS,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,SINT,0,0,0,0,0,0,0,0,0,0,0,0,6,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,SSID,0,0,0,0,0,0,0,0,0,0,0,0,9,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,MFOR,0,0,0,0,0,0,0,0,0,0,0,0,6,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,PAST,0,0,0,0,0,0,0,0,0,0,0,0,11,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,MDAN,0,0,0,0,0,0,0,0,0,0,0,0,3,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,ALAM,0,0,0,0,0,0,0,0,1,0,0,1,2,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/11/18,Michael Studivan,SEFL19,11:27,11:47,61,800,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
5/11/18,Jeff Beal,SEFL19*,10:32,10:52,54,1000,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,19,This site was 200ft north of SEFL 19
5/11/18,Jeff Beal,SEFL19*,10:32,10:52,54,1000,PAST,0,0,0,0,0,0,0,0,0,0,0,0,4,
5/11/18,Jeff Beal,SEFL19*,10:32,10:52,54,1000,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/11/18,Jeff Beal,SEFL19*,10:32,10:52,54,1000,ALAM,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/11/18,Jeff Beal,SEFL19*,10:32,10:52,54,1000,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
5/11/18,Jeff Beal,SEFL19*,10:32,10:52,54,1000,MDAN,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/11/18,Jeff Beal,SEFL19*,10:32,10:52,54,1000,MFORM,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/11/18,Jeff Beal,SEFL16,11:40,12:00,45,1000,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,12,
5/11/18,Jeff Beal,SEFL16,11:40,12:00,45,1000,OANN,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/11/18,Jeff Beal,SEFL16,11:40,12:00,45,1000,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,26,
5/11/18,Jeff Beal,SEFL16,11:40,12:00,45,1000,PAST,0,0,0,0,0,0,0,0,0,0,0,0,5,
5/11/18,Jeff Beal,SEFL16,11:40,12:00,45,1000,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
5/11/18,Jeff Beal,SEFL16,11:40,12:00,45,1000,SINT,0,0,0,0,0,0,0,0,0,0,0,0,3,
5/30/18,Jeff Beal,SEFL04,11:10,11:30,70,100,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,9,
5/30/18,Jeff Beal,SEFL04,11:10,11:30,70,100,OANN,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/30/18,Jeff Beal,SEFL04,11:10,11:30,70,100,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,4,
5/30/18,Jeff Beal,SEFL04,11:10,11:30,70,100,AGGA,0,0,0,0,0,0,0,0,0,0,0,0,7,
5/30/18,Jeff Beal,SEFL04,11:10,11:30,70,100,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,
5/30/18,Jeff Beal,SEFL04,11:10,11:30,70,100,PAST,0,0,0,0,0,0,0,0,0,0,0,0,3,
5/30/18,Jeff Beal,SEFL04,11:10,11:30,70,100,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,
6/1/18,Michael Studivan,SEFL06,11:02,11:22,70,2000,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,69,21 Dead
6/1/18,Michael Studivan,SEFL06,11:02,11:22,70,2000,PAST,0,0,0,0,0,0,0,0,0,0,0,0,10,
6/1/18,Michael Studivan,SEFL06,11:02,11:22,70,2000,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,7,
6/1/18,Michael Studivan,SEFL06,11:02,11:22,70,2000,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
6/1/18,Michael Studivan,SEFL06,11:02,11:22,70,2000,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,
